,model,learning_rate,num_epoch,batch_size,accuracy,precision,recall,f1_score,loss
106,MediumNN,0.01,10,64,9.82,0.00964324,0.0982,0.01756190129302495,2.36376948803981
107,MediumNN,0.01,10,128,9.58,0.009177639999999999,0.0958,0.016750574922431097,2.3625368121336265
108,MediumNN,0.01,15,16,10.09,0.01018081,0.1009,0.01849543101099101,2.362000646209717
109,MediumNN,0.01,15,32,11.35,0.01288225,0.1135,0.023138302649304,2.3487842179616294
110,MediumNN,0.01,15,64,10.32,0.01065024,0.1032,0.019307904278462656,2.3618538430504707
111,MediumNN,0.01,15,128,10.28,0.01056784,0.1028,0.019165469713456656,2.3567399038180614
112,MediumNN,0.1,2,16,10.09,0.01018081,0.1009,0.01849543101099101,2.362000646209717
113,MediumNN,0.1,2,32,9.74,0.00948676,0.0974,0.017289520685256063,2.3636342179616294
114,MediumNN,0.1,2,64,9.58,0.009177639999999999,0.0958,0.016750574922431097,2.3624701810035624
115,MediumNN,0.1,2,128,10.32,0.01065024,0.1032,0.019307904278462656,2.3618538430504707
116,MediumNN,0.1,5,16,9.8,0.009604000000000001,0.098,0.017493624772313296,2.36243397954305
117,MediumNN,0.1,5,32,10.09,0.01018081,0.1009,0.01849543101099101,2.362000884628296
118,MediumNN,0.1,5,64,9.58,0.009177639999999999,0.0958,0.016750574922431097,2.3625034965685945
119,MediumNN,0.1,5,128,9.74,0.00948676,0.0974,0.017289520685256063,2.3636084624699185
120,MediumNN,0.1,10,16,9.82,0.00964324,0.0982,0.01756190129302495,2.36378397954305
121,MediumNN,0.1,10,32,8.92,0.007956640000000001,0.0892,0.014610062431142126,2.370800884628296
122,MediumNN,0.1,10,64,9.74,0.00948676,0.0974,0.017289520685256063,2.3636695413447137
123,MediumNN,0.1,10,128,9.82,0.00964324,0.0982,0.01756190129302495,2.363797250841218
124,MediumNN,0.1,15,16,11.35,0.01288225,0.1135,0.023138302649304,2.3487839795430503
125,MediumNN,0.1,15,32,10.28,0.01056784,0.1028,0.019165469713456656,2.356734217961629
126,MediumNN,0.1,15,64,9.8,0.009604000000000001,0.098,0.017493624772313296,2.3624202076560143
127,MediumNN,0.1,15,128,9.58,0.009177639999999999,0.0958,0.016750574922431097,2.3624979438049705
128,ComplexNN,0.0001,2,16,94.3,0.9434671372725445,0.943,0.943029444512834,1.5386873200098674
129,ComplexNN,0.0001,2,32,92.67,0.9284408700133568,0.9267,0.9266282108655849,1.5500075576146444
130,ComplexNN,0.0001,2,64,92.3,0.9232369286096104,0.923,0.9229135346078192,1.584736650305262
131,ComplexNN,0.0001,2,128,91.29,0.9129897237777673,0.9129,0.9124755987767077,1.572917754716202
132,ComplexNN,0.0001,5,16,95.51,0.9563385822939848,0.9551,0.9552704420493313,1.5039234892527262
133,ComplexNN,0.0001,5,32,95.59,0.9567827996624799,0.9559,0.9558534429767961,1.506090151723226
134,ComplexNN,0.0001,5,64,95.54,0.9556812964010882,0.9554,0.9554024702342367,1.5133861838373295
135,ComplexNN,0.0001,5,128,92.89,0.9309435698110261,0.9289,0.9287893278044359,1.5307040542427666
136,ComplexNN,0.0001,10,16,97.18,0.9719919623912774,0.9718,0.9717919695256131,1.4900462968508403
137,ComplexNN,0.0001,10,32,96.48,0.965110890590039,0.9648,0.9647955120918865,1.4884183844884236
138,ComplexNN,0.0001,10,64,96.49,0.965207033217749,0.9649,0.9648775508913433,1.4928240336334782
139,ComplexNN,0.0001,10,128,95.09,0.9517001267313737,0.9509,0.9507970134769664,1.5284337186610013
140,ComplexNN,0.0001,15,16,96.16,0.9628608477903677,0.9616,0.9617798679505891,1.4872391087532044
141,ComplexNN,0.0001,15,32,97.19,0.9721273730655845,0.9719,0.9718855071976313,1.4831106201171875
142,ComplexNN,0.0001,15,64,96.95,0.9699974044893099,0.9695,0.9694861756305722,1.4829536628113118
